"","subject","catalog_number","name_of_class","term","start_date","timestamp","census_date","total_of_enrollments"
"181","MATH","4450","Complex Variables","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"182","MATH","4650","Numerical Analysis I","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"183","MATH","4660","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"184","MATH","4733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"185","MATH","4779","Math Clinic","Spring 2019",2019-01-22,2018-11-04,2019-02-11,1
"186","MATH","4810","Probability","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"187","MATH","4830","Applied Statistics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"188","MATH","5010","History of Mathematics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"189","MATH","5027","Topics in Applied Mathematics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"190","MATH","5070","Applied Analysis","Spring 2019",2019-01-22,2018-11-04,2019-02-11,1
"191","MATH","5110","Theory of Numbers","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"192","MATH","5320","Intro Mathematical Statistics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"193","MATH","5387","Applied Regression Analysis","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"194","MATH","5390","Game Theory","Spring 2019",2019-01-22,2018-11-04,2019-02-11,1
"195","MATH","5490","Network Flows","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"196","MATH","5661","Numerical Analysis II","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"197","MATH","5718","Applied Linear Algebra","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"198","MATH","5733","Partial Differential Equations","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"199","MATH","5779","Math Clinic","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"200","MATH","5830","Applied Statistics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"201","MATH","6330","Statistical Consulting","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"202","MATH","6595","Comput Meth Non-Linear Prog","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"203","MATH","7132","Functional Analysis","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"204","MATH","7393","Bayesian Statistics","Spring 2019",2019-01-22,2018-11-04,2019-02-11,1
"205","MATH","7405","Advanced Graph Theory","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"206","MATH","7594","Integer Programming","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"207","MATH","7823","Topics in Discrete Math","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"208","MATH","8660","Math Finite Element Mthds","Spring 2019",2019-01-22,2018-11-04,2019-02-11,0
"209","MATH","1010","Math for Liberal Arts","Spring 2019",2019-01-22,2018-11-05,2019-02-11,1
"210","MATH","1070","College Algebra for Business","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"211","MATH","1110","College Algebra","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"212","MATH","1120","College Trigonometry","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"213","MATH","1130","Precalculus Mathematics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,4
"214","MATH","1401","Calculus I","Spring 2019",2019-01-22,2018-11-05,2019-02-11,13
"215","MATH","2411","Calculus II","Spring 2019",2019-01-22,2018-11-05,2019-02-11,3
"216","MATH","2421","Calculus III","Spring 2019",2019-01-22,2018-11-05,2019-02-11,0
"217","MATH","2830","Introductory Statistics","Spring 2019",2019-01-22,2018-11-05,2019-02-11,2
